Date       :,2021,,,,
region,Total: All households,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household
East,2628782,442119,1092400,789798,304465
East Midlands,2037332,389858,833576,600764,213134
London,3423890,1440271,1380847,464970,137802
North East,1175680,324661,493735,277248,80036
North West,3153403,778262,1331880,804289,238972
South East,3807966,642098,1553917,1163276,448675
South West,2448881,410920,1022391,732438,283132
Wales,1347114,261859,562253,378768,144234
West Midlands,2429493,522944,985764,674177,246608
Yorkshire and The Humber,2330660,564965,980137,600010,185548
